peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Dnaja1	2385.20410863977	1.95493128942605	0.128574077783017	6.34659481665682e-54	3.7484993175012e-52
Srgn	4816.36174171496	2.75369117781608	0.181140858113832	1.28782425295944e-53	7.56647317628838e-52
Ppp1cb	4445.64696860671	2.19672168725514	0.144942150058622	1.56458842377101e-53	9.14469338101995e-52
Gpr84	135.553479564892	4.79619546486119	0.319726409858987	1.80551776833144e-53	1.04981970964847e-51
Cd300lb	792.92287308839	-5.80568872465467	0.383448091883859	2.24177770788032e-53	1.29676440401201e-51
Prkd3	627.40321042554	2.57505362354199	0.170826782267887	8.68838583057515e-53	5.00005465593407e-51
Calhm6	430.539157522617	3.33401134954112	0.222273208941368	9.31975822207717e-53	5.33603708000765e-51
Mark2	747.3885108575	1.83152831290273	0.122280515279949	2.18019530296958e-52	1.24193663400633e-50
Rasa3	602.671540228349	-2.65270270917439	0.176668188245202	2.19157351821901e-52	1.24211303138655e-50
Cers6	3676.87679770985	2.40295932003203	0.16022640020036	2.30888475907996e-52	1.30202536514549e-50
Tab2	4090.09164806264	1.54948297795855	0.103402269506874	4.05984759642408e-52	2.27798048635355e-50
Ppp1r15a	204.598267240971	3.31873837554091	0.222922639676214	5.25038009028914e-52	2.93133161060819e-50
Cpeb4	7003.07552125137	2.65705853270966	0.178187670435728	1.03860015270344e-51	5.76988659090991e-50
Vcl	523.266537523808	2.02129816721612	0.136963449420816	5.29450292839979e-51	2.92684294889175e-49
Il27	287.358643865206	4.30299152570003	0.295692804170589	8.44497897795744e-51	4.64556637699208e-49
Tlr13	3021.99423572748	-1.60399798841634	0.10895669790413	1.72842340982431e-50	9.46164268538946e-49
Nfkb1	2763.75213223929	2.71566440671786	0.185038408712969	3.42470033603893e-50	1.86563044519558e-48
Baz1a	1260.82608414756	2.26351540506955	0.154719673498392	4.46751739063259e-50	2.42195556317289e-48
Tubb6	276.656325060236	2.85921914097637	0.195618043545855	7.63525305740677e-50	4.11936585626052e-48
Arhgap45	623.232691636679	-2.5424439468839	0.174350982925361	1.27285722728937e-49	6.8344515811681e-48
