peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
St6gal1	670.684969649793	0.636908410367853	0.112977768798422	1.79704697468645e-10	1.65575244156225e-08
Tgfbr2	1214.77559949511	0.449405464398944	0.0757443191740419	1.89056265646158e-10	1.72871903511297e-08
Lrrk2	49.8685128312092	6.90315891102491	1.14728477652871	2.33214195375062e-10	2.11646266028346e-08
Rpl27a	1116.31744087961	0.423663483410267	0.0714733692889641	2.4346144257935e-10	2.17672563846871e-08
Cenpa	43.8380919308616	1.34734374080318	0.230479861984994	2.42918668785724e-10	2.17672563846871e-08
Sirpb1a	101.443273107298	-1.20707987127279	0.208639234063898	2.98203225827271e-10	2.64655362921703e-08
Rgs18	214.860213918259	0.722762162847464	0.131270554281489	3.11585404389309e-10	2.74513564305034e-08
Tgtp2	129.088334737286	-1.40726317607369	0.243422867156109	3.61593911313648e-10	3.16263660112734e-08
Dio2	16.8088173891947	-2.68700697947828	0.505409806357825	3.77053911946266e-10	3.27413001236793e-08
H2-DMb1	81.6904428976773	0.972304361210705	0.173435390226158	4.29643362911124e-10	3.70413956452661e-08
Gmfg	591.605810301623	0.664112759590624	0.121798972667388	4.65509236480089e-10	3.98489112362743e-08
Rpl10a	673.193403840761	0.547180655153436	0.097893160772015	5.03320811730004e-10	4.27822689970504e-08
Phf11d	280.19845841559	-1.53805575612141	0.269409051672294	5.46899160946857e-10	4.61613487596403e-08
Tnfaip2	10002.9730565527	-0.605344748578193	0.111133613010709	6.66818043071471e-10	5.58923179157823e-08
Tspan7	37.7912278508101	-1.85729432383819	0.332912822327368	7.81531800922632e-10	6.50557850836977e-08
Tfrc	351.248233563204	-1.50451956382991	0.266686192582276	8.01692750833828e-10	6.62769280997555e-08
Ly6i	7.82387824789348	-4.3010432937592	0.774962493690512	8.57919142856024e-10	6.99667841504879e-08
Gpr34	301.554629978817	1.21014282671004	0.21623396595939	8.53686825199246e-10	6.99667841504879e-08
Rnasel	269.175184074054	1.51495209762608	0.270223168664112	9.72605204788747e-10	7.87875491395985e-08
Mgst1	643.759953136296	0.546391282652999	0.0998728698423833	9.96441770422444e-10	7.96493521125755e-08
Degs1	2213.7776533801	0.377300432869633	0.0657493613500734	9.9635057779711e-10	7.96493521125755e-08
Rin2	1607.77084890615	0.701087880657316	0.132618917963313	1.09175244238447e-09	8.66937630235564e-08
Ap1b1	414.284690057266	0.845275394248373	0.158752498143876	1.17146224047293e-09	9.24153545261979e-08
Arhgap35	180.426459466386	-0.998907449434082	0.183793881874851	1.20057950646921e-09	9.40973678122299e-08
Itga5	1001.57367210073	-0.728532522708755	0.138345211784986	1.20898195430623e-09	9.41445947643624e-08
Clu	5.89331254060911	-6.09306202615458	1.0597800831319	1.25093695216211e-09	9.67872372602352e-08
Ptprc	8837.20101272765	-0.387719513078147	0.0682333668391033	1.3030127915984e-09	1.0017429550696e-07
Nr1h3	90.9942718503171	-0.975594249160753	0.181805648390953	1.58556313827629e-09	1.20363189176068e-07
Nav2	272.316446642753	0.888671653533601	0.16763403833618	1.57929725483552e-09	1.20363189176068e-07
Grk3	15.1158937477494	-5.57957421245753	0.981263486798422	1.59568104000808e-09	1.2037418845561e-07
Wfdc17	1076.10794279676	1.33740170021465	0.243648650096518	1.74402876882544e-09	1.30747995277783e-07
Eef1b2	1557.70874072882	0.50798431149087	0.0936975738903205	1.97120251285669e-09	1.46866755124569e-07
Gpr183	57.3053884613849	1.34853413152131	0.247062424476819	2.06996493853356e-09	1.532789988227e-07
Zfp518b	27.5213355539359	2.02326767772353	0.38181568018484	2.33171319696457e-09	1.71608404191234e-07
Serpinb9	88.2713446618257	-0.936086451097224	0.177917792896934	2.3574178173207e-09	1.72448685182187e-07
Tspyl3	37.1610590906587	2.6535610285328	0.532888495982314	2.48192171211653e-09	1.80462620874979e-07
Ldha	2366.67380056663	-0.329731757167727	0.0588322627719496	2.57377877352643e-09	1.86021016745293e-07
C5ar2	81.1849349907634	1.1774075974902	0.219422552191952	2.7463207558149e-09	1.97310068587416e-07
Rora	27.0720029887824	2.99712238312553	0.610795628860881	2.98369895980852e-09	2.13096132809993e-07
Pvr	442.949232978793	-0.790307451249488	0.154878925007892	3.21373912836494e-09	2.28175478113911e-07
Myof	2621.12239307494	-0.946542942290404	0.181918035742818	3.31544063059407e-09	2.32659118670177e-07
Cd302	495.771768122006	-0.678306385514482	0.133221975530535	3.31371256105068e-09	2.32659118670177e-07
Mex3b	49.5199719802916	1.08655151583997	0.206337085121161	3.7712903557153e-09	2.63118350251351e-07
Ybx3	366.707442867899	-0.711515627659184	0.141147358914712	4.11576516326855e-09	2.85257387783187e-07
Rnase6	42.6967302704902	-1.38825862240296	0.260453858124984	4.13587761906029e-09	2.85257387783187e-07
Tanc1	6.38782208122748	-5.54242510239178	1.01004580805836	4.35499926971747e-09	2.98663870372102e-07
Arl5c	17.1103004173425	-3.42576524272518	0.698919507789753	4.61280823368188e-09	3.1455703604825e-07
Abca8b	19.0672927499217	-2.14780904695389	0.422988065301108	5.08724555765652e-09	3.44960976859068e-07
Ifi213	22.0406234885548	-2.05536404108795	0.401514712451346	5.3678898946705e-09	3.61957715243983e-07
Ttyh2	349.751632136862	-0.533431767193403	0.103113352190845	5.7860616149241e-09	3.8798757606741e-07
Speg	27.1911807338088	1.64951440917618	0.314851125722977	6.340058043516e-09	4.22787296051039e-07
Ptpra	1713.31617399546	0.457220464370406	0.0864725224500196	6.82236088203488e-09	4.51335414621657e-07
Fabp5	2592.29707613336	-0.596015786316477	0.118386864082701	6.84294787703093e-09	4.51335414621657e-07
Cd5l	74.0122878933998	2.22911547639674	0.452284818896843	8.46583490101475e-09	5.55340365517652e-07
Tmsb4x	21197.1621391072	0.468694080789732	0.0898293494459751	8.85764562189021e-09	5.77901527871432e-07
Rnf150	248.947181725272	1.27150713095732	0.247015943709188	9.43493068835681e-09	6.12255986067025e-07
Ahcyl1	980.826906328605	-0.553937332495601	0.109953655527799	9.62991817120143e-09	6.21567445595729e-07
Fgr	29.8913471159041	-3.08880562115654	0.662911981843832	1.08616861433414e-08	6.97343360373033e-07
Golph3l	833.388617373198	-0.503056578110014	0.0984443491651706	1.10053631058297e-08	7.02829273478116e-07
Zbp1	198.944470729206	-1.05011053383523	0.211130949715923	1.4440814893485e-08	9.17371767180866e-07
Pltp	393.332992764742	0.912239483264088	0.188127885229415	1.70977677991865e-08	1.08047150437791e-06
Hmga1	309.883765999241	-0.698227743200977	0.146563794133946	1.75835729633304e-08	1.10538398785103e-06
Arhgap12	35.5652634871041	2.43527138608501	0.52642564694734	2.1609148561456e-08	1.35141151884339e-06
Mturn	59.6413591734135	-1.25463220533932	0.25253993515342	2.1887860738327e-08	1.3617859748021e-06
Rps16	559.920611599083	0.576893239389364	0.119305935187112	2.21571283693292e-08	1.37146943291181e-06
Marcksl1	7263.39231198686	0.585037156577098	0.121514110381267	2.30594788154123e-08	1.42004035358177e-06
Man2a2	421.283004645641	0.551525074650145	0.11328629361516	2.34077512203784e-08	1.43417034126887e-06
Septin6	64.3041403497188	-0.954367551188757	0.198443671551328	2.37129985997708e-08	1.44553481363249e-06
Fcrl1	139.631680309555	1.33178098070751	0.26826853786952	2.40564635085644e-08	1.45910308818278e-06
Hdac9	52.5462350476903	1.59242324947988	0.322066817213302	2.7526588555632e-08	1.66001722641163e-06
Adipor1	866.581232548626	0.426900673690916	0.0842300207411567	2.76440316908647e-08	1.66001722641163e-06
Dlc1	259.05245478347	1.10097315077234	0.226498410771887	2.77910802873538e-08	1.66058583697208e-06
A630001G21Rik	204.710662171599	-0.69025423636801	0.147676943323426	2.79718269726774e-08	1.66315247073998e-06
Cbx6	23.4805073689249	1.55229506144508	0.314779777480411	2.97046628058189e-08	1.75752588267762e-06
Selenop	22548.828465737	1.06797772704934	0.221408801338368	3.05731452207771e-08	1.80008713568185e-06
Hacd4	734.795409495377	0.578016474292854	0.12127518891012	3.1028747984643e-08	1.81804363191573e-06
Rhob	677.065020238281	0.755399802354828	0.162612333513369	3.11821348049488e-08	1.81820467196006e-06
Kmo	11.5917130347427	1.99756960781045	0.422667192851777	4.01603093682542e-08	2.33045641382129e-06
Rpl26	2029.16905526043	0.42681915329851	0.0854917558780254	4.04992820565959e-08	2.33888198288571e-06
Ccnd2	1083.45317110165	0.931086628272707	0.199273051225164	4.17889275387623e-08	2.40186835901362e-06
Klk1b11	183.353390031439	4.02400146579255	0.869992433430511	4.24285481345319e-08	2.42707381982844e-06
Fzd7	374.603239983843	0.505348266888386	0.104673049312078	4.46190375850997e-08	2.5403386021328e-06
Rpsa	1207.98876516451	0.396932325370243	0.0792470633416106	4.59077436868027e-08	2.60143880891882e-06
Ccl22	513.564543438249	-1.56506915183644	0.323900145397758	4.65835814079305e-08	2.62740106352206e-06
Xlr3a	14.3102840257242	2.33047645987828	0.518385357101723	4.93322262681709e-08	2.76948823747359e-06
Tpt1	7390.368019329	0.438182303952456	0.0888510273220509	5.00276507012522e-08	2.78264398140145e-06
Plac8	10.832843419018	-3.14580799879351	0.724582010672533	4.99190313906019e-08	2.78264398140145e-06
Rnd3	805.38774140142	0.852220743334519	0.187039746097525	5.70593926525438e-08	3.15920582255139e-06
Eef1a1	38144.6974500912	0.33592148941642	0.0669978753198294	5.86811171954348e-08	3.23416020341962e-06
Myo5a	3372.85293838716	0.513075152235163	0.108402237895502	6.55343612897794e-08	3.59545336712562e-06
Gpnmb	20459.9679809914	-1.05310477047087	0.227174781189678	6.87654790732902e-08	3.75565308784892e-06
Klhl9	926.113128022225	0.395433474442412	0.0802458125297244	6.9204396846197e-08	3.76259941411531e-06
Rps21	496.598650090101	0.53533093534643	0.114640181575869	7.19331383512356e-08	3.89342143452652e-06
Aoah	621.355413440512	0.558778940046665	0.121140282865993	7.66762273391803e-08	4.13161635707101e-06
H1f0	233.778620196153	0.611761629119418	0.135062934208125	7.74334406901857e-08	4.15387390724685e-06
Cd207	6.02669974665948	-5.43815420524909	1.13132878253587	8.11003149362418e-08	4.33133097911698e-06
Nxpe4	17.53091875248	-1.88410496218167	0.408030117076682	8.19480667532029e-08	4.35732672119453e-06
L1cam	70.8710493657926	-1.00403363064469	0.219932708783653	8.30762712465199e-08	4.39794120151533e-06
