Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Zmynd10	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.7939723906934	2.27932853613905	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zmym6	4.78097906138409	4.4463399945378	4.97826062474225	4.51613459724457	4.95492363186453	7.72093740590029	7.33719788152009	7.56612209808702	7.38675372829051	7.72847813245607	4.34768722223846	4.5306140892084	7.54422763814593	7.57289119015308	7.30673600122683
Zmym5	8.94697976207205	8.53454003547816	8.67212772539797	8.97650531040644	9.04571960717249	8.59548641911646	8.3412546436257	8.60437820607857	8.71758578262299	8.85847623529322	8.82028824180949	8.6733167884252	8.4869306483144	8.60871285229094	8.5385695547295
Zmym4	8.89985451320597	8.69658031049041	8.73045883994403	8.67327076888133	8.59940389879553	8.67025486916147	8.51230863055118	8.69022107970287	8.57612762508033	8.67520079378051	8.47983612322612	8.41327726218139	8.53670165094337	8.63844452339131	8.58197130255946
Zmym3	4.92647673767792	4.57547099371245	4.83606173106357	4.9557657210881	4.49366500983198	6.48123948045709	6.60903559725703	6.30249458284497	6.30064528011179	5.9942091421453	4.05296505537546	4.75598906839338	6.45489411387069	6.5529962921608	6.18021668199051
Zmym2	9.43566769749842	9.08510607269381	9.16129042789537	9.23898753255068	9.37521894514111	8.97378261260152	8.80572092264383	9.04945593356094	9.09483946832071	9.25424034522337	9.20678713188915	9.26232677019941	8.94163283607925	9.06209025536231	8.92643775879706
Zmym1	6.34112361992432	6.21340223197942	6.32195837019539	6.17834346480513	6.66590165189721	6.80485922710632	6.25688322784797	6.63916436683358	6.63654672846793	6.70289329097703	6.66015940706033	6.23540409982042	6.64187743163285	6.42220895605356	6.65738978071254
Zmpste24	9.51172540386391	9.61383756428416	9.54724768802966	9.61685797471262	9.81397303404336	9.58742732005299	9.51261840809138	9.49333088339806	9.46155672155427	9.68663838579825	9.49679141417489	9.36270099114482	9.11789179163573	9.22510666702598	9.23996128715979
Zmiz2	7.58615544333241	7.51146781287803	7.494387663188	7.8969865178242	7.84856436344857	7.4852015604528	7.53636507114516	7.48245979078379	7.50859801571156	7.43818961735503	7.41455171178762	7.48622087713022	7.96902348752432	7.87221728682566	7.54035916650801
Zmiz1	10.2866024424135	9.93052363815899	10.1225515897576	9.97339725076568	10.2702036491595	10.5332596006139	10.420932412996	10.4718877914834	10.9127101503752	10.9857169410649	9.94484387133829	9.98069980086328	10.6695477422164	10.5950053154446	10.4507650079218
Zmat5	3.97215186082374	4.69364889287625	4.67787922476498	5.17404816167288	5.03147141317837	5.12644763930323	5.17850928450957	4.98437634290027	5.22540726973654	5.14403577101036	4.59025292911963	4.85640788937654	5.43644659808246	5.56053663519499	5.38393343553224
Zmat3	6.17804713152383	6.04817957979954	6.39914337746547	6.9393647830937	6.66590165189721	7.46242552144298	7.40469245318194	7.53714531840987	7.85335393368007	7.77101308488148	6.60701161202231	7.01414256243146	7.76449394288345	7.76486967490269	7.64640210771335
Zmat2	8.71421135978785	8.94551734278793	8.99123811086106	9.19017336823438	9.65829853739068	8.77868348745433	8.86354556642163	9.05287122883972	8.91263663448294	9.18444523105655	9.38295139558367	9.23495166310564	8.5689531764754	8.83613485082627	9.06441825885536
Zmat1	3.66256317772158	4.30391727986939	3.91546434131592	5.09072180513635	4.59886761477051	5.93628958829515	5.31316384422756	5.74837641483704	6.04498781301938	5.98106391274504	4.79681054156763	4.75598906839338	5.88804792650708	6.07262691873252	5.66910560672943
Zkscan8	5.82041324861824	5.8614493374551	5.85807633338895	6.09577782811331	5.81417545537002	7.10860731543589	6.90028639096127	7.04134240536636	7.11725574077665	7.22661288534555	6.09171263832065	5.27316968317484	6.97728337753473	7.25225960462621	7.0892676342047
Zkscan7	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.74379719808008	2.7276806399234	2.23432360038654	2.49549353943458
Zkscan6	6.8362713394229	6.52761712466586	6.86574981576844	6.77683946217983	6.31744660618675	6.06306238596759	6.18879699543076	6.20746693827192	6.35370414786799	6.21231493977688	6.80875895617659	6.56386740379879	6.23993406569786	5.97635191097354	6.38060395681227
Zkscan5	4.22311545125902	3.75658817983169	3.76057838289622	4.80655448591837	3.07333855482893	5.64320626283053	5.02975081445037	5.58750486819042	5.70675288919826	5.58860563150768	4.59025292911963	3.72016033701366	5.58466601817328	5.67249612071989	5.28172387130411
Zkscan4	1.63628512020582	1.63628512020582	2.60770588441532	2.7672464105552	2.67254783046388	3.57957123945272	4.14031058966292	3.84131758833886	3.73951375465433	4.05256603064527	3.13253906726493	1.63628512020582	3.74695511452015	3.64243103775912	3.81210216563794
Zkscan3	6.34112361992432	5.75810193308742	6.36106847147051	6.40091029766298	6.19070916035661	7.62165152007751	7.13523512418849	7.52243558901629	7.43673372244547	7.39927220668742	6.49444111079513	6.19802339262376	7.82213126505067	7.75766176164848	7.34755941888786
Zkscan2	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.41798058234476	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582
Zkscan17	6.62049975384928	6.3615781597951	6.47239767105259	6.50048527713582	5.81417545537002	5.82135858337385	6.20267464728372	5.95287196187285	5.50206382773038	5.57113487727152	6.80875895617659	6.47295365448435	6.24882401656518	6.09572011197548	5.86513145590434
